latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
35.16434,127.92937,308.3,1,1,2025-03-22,0540,Aqua,MODIS,48,6.1NRT,297.3,3.76,D
35.39638,129.26099,343.82,1.04,1.02,2025-03-22,0540,Aqua,MODIS,93,6.1NRT,300.46,47.86,D
35.39487,129.24985,331.75,1.04,1.02,2025-03-22,0540,Aqua,MODIS,86,6.1NRT,300.86,28.07,D
35.40531,129.25926,321.16,1.04,1.02,2025-03-22,0540,Aqua,MODIS,77,6.1NRT,298.28,15.47,D
35.40378,129.24799,331.4,1.04,1.02,2025-03-22,0540,Aqua,MODIS,85,6.1NRT,298.28,28.34,D
35.23769,127.86368,314.85,1,1,2025-03-22,0540,Aqua,MODIS,61,6.1NRT,292.18,9.51,D
35.23613,127.85303,408.5,1,1,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,306.32,303.7,D
35.23457,127.8424,398.36,1,1,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,306.64,238.04,D
35.23146,127.82113,330.4,1,1,2025-03-22,0540,Aqua,MODIS,84,6.1NRT,300.99,24.16,D
35.24641,127.86175,348.07,1,1,2025-03-22,0540,Aqua,MODIS,95,6.1NRT,293.32,54.03,D
35.24485,127.85111,480.95,1,1,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,319.84,1196.8,D
35.24329,127.84048,407.32,1,1,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,317.05,293.45,D
35.24174,127.82983,357.89,1,1,2025-03-22,0540,Aqua,MODIS,99,6.1NRT,304.84,74.52,D
35.24018,127.8192,346.52,1,1,2025-03-22,0540,Aqua,MODIS,94,6.1NRT,301.78,48.86,D
35.23862,127.80856,356.49,1,1,2025-03-22,0540,Aqua,MODIS,98,6.1NRT,304.43,71.09,D
35.23706,127.79793,346.79,1,1,2025-03-22,0540,Aqua,MODIS,94,6.1NRT,302.09,50.78,D
35.25357,127.84919,328.46,1,1,2025-03-22,0540,Aqua,MODIS,84,6.1NRT,294.61,22.03,D
35.25202,127.83855,364.74,1,1,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,298.65,93.99,D
35.25046,127.82791,365.94,1,1,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,300.19,97.58,D
35.2489,127.81727,352.27,1,1,2025-03-22,0540,Aqua,MODIS,97,6.1NRT,300.19,61.66,D
35.24734,127.80663,313.33,1,1,2025-03-22,0540,Aqua,MODIS,46,6.1NRT,295.91,6.71,D
35.24578,127.796,314.79,1,1,2025-03-22,0540,Aqua,MODIS,59,6.1NRT,299.02,9.19,D
35.45749,128.30486,315.43,1.01,1,2025-03-22,0540,Aqua,MODIS,71,6.1NRT,298.62,10.19,D
35.45594,128.29404,307.92,1.01,1,2025-03-22,0540,Aqua,MODIS,55,6.1NRT,297.14,4.67,D
35.39962,127.34161,308.64,1,1,2025-03-22,0540,Aqua,MODIS,54,6.1NRT,297.52,4.05,D
35.78905,128.69579,315.52,1.02,1.01,2025-03-22,0540,Aqua,MODIS,71,6.1NRT,295.24,10.52,D
35.78751,128.68474,305.98,1.02,1.01,2025-03-22,0540,Aqua,MODIS,41,6.1NRT,295.31,3.6,D
35.90328,127.55058,313.15,1,1,2025-03-22,0540,Aqua,MODIS,68,6.1NRT,295,9.56,D
35.9017,127.53985,309.95,1,1,2025-03-22,0540,Aqua,MODIS,56,6.1NRT,293.89,7.48,D
36.22426,128.69756,309.32,1.02,1.01,2025-03-22,0540,Aqua,MODIS,40,6.1NRT,296.32,3.72,D
36.22276,128.68655,363.43,1.02,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,302.73,94.14,D
36.22124,128.67551,346.69,1.02,1.01,2025-03-22,0540,Aqua,MODIS,94,6.1NRT,302.17,52.42,D
36.35202,128.6812,319.3,1.03,1.01,2025-03-22,0540,Aqua,MODIS,49,6.1NRT,293.63,12.64,D
36.35052,128.67012,321.57,1.03,1.01,2025-03-22,0540,Aqua,MODIS,62,6.1NRT,295.56,14.3,D
36.34599,128.63676,335.38,1.02,1.01,2025-03-22,0540,Aqua,MODIS,41,6.1NRT,297.34,27.08,D
36.34448,128.62573,327.15,1.02,1.01,2025-03-22,0540,Aqua,MODIS,49,6.1NRT,298.15,17.61,D
36.34298,128.61467,323.63,1.02,1.01,2025-03-22,0540,Aqua,MODIS,80,6.1NRT,297.62,16.12,D
36.36087,128.67932,398.12,1.03,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,299.83,243.66,D
36.35936,128.66817,428.58,1.03,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,315.88,480.29,D
36.35783,128.65698,397.95,1.02,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,311.24,239.51,D
36.35633,128.6459,426.81,1.02,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,307.15,461.04,D
36.35482,128.63484,454.32,1.02,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,321.28,785.37,D
36.35331,128.62381,452.26,1.02,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,321.6,757.02,D
36.35181,128.61279,451.94,1.02,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,325.31,752.59,D
36.3503,128.60176,361.39,1.02,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,302.62,85.1,D
36.36819,128.66623,433.63,1.03,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,305.05,531.99,D
36.36667,128.65509,468.2,1.02,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,324.46,1001.85,D
36.36517,128.64407,374.33,1.02,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,303.05,125.49,D
36.36366,128.63301,353.36,1.02,1.01,2025-03-22,0540,Aqua,MODIS,97,6.1NRT,297.5,61.6,D
36.36214,128.6219,381.7,1.02,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,303.31,156.25,D
36.36062,128.61076,489.39,1.02,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,331.9,1407.42,D
36.35911,128.59972,389.72,1.02,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,309.32,195.16,D
36.37703,128.66431,314.85,1.03,1.01,2025-03-22,0540,Aqua,MODIS,47,6.1NRT,296.2,7.96,D
36.37551,128.65321,320.63,1.02,1.01,2025-03-22,0540,Aqua,MODIS,77,6.1NRT,295.92,12.94,D
36.37097,128.62,313.36,1.02,1.01,2025-03-22,0540,Aqua,MODIS,13,6.1NRT,296.39,6.05,D
36.36946,128.6089,330.19,1.02,1.01,2025-03-22,0540,Aqua,MODIS,85,6.1NRT,296.36,23.59,D
36.36795,128.5979,314.01,1.02,1.01,2025-03-22,0540,Aqua,MODIS,39,6.1NRT,297.46,6.29,D
36.17516,127.13021,306.71,1,1,2025-03-22,0540,Aqua,MODIS,43,6.1NRT,294.79,3.12,D
36.51777,126.63722,307.4,1.01,1.01,2025-03-22,0540,Aqua,MODIS,53,6.1NRT,295.06,5.51,D
37.12067,127.0165,309.61,1,1,2025-03-22,0540,Aqua,MODIS,63,6.1NRT,296.74,4.37,D
37.27174,127.73219,343.42,1,1,2025-03-22,0540,Aqua,MODIS,93,6.1NRT,296.81,46.44,D
37.27018,127.72124,309.66,1,1,2025-03-22,0540,Aqua,MODIS,65,6.1NRT,295.18,5.76,D
37.28048,127.73021,330.14,1,1,2025-03-22,0540,Aqua,MODIS,86,6.1NRT,295.65,25.88,D
35.41328,129.23799,313.44,1.69,1.28,2025-03-22,1204,Terra,MODIS,87,6.1NRT,286.68,30.23,N
36.36411,128.71513,305.52,1.73,1.29,2025-03-22,1204,Terra,MODIS,16,6.1NRT,285.84,17.15,N
36.39307,128.80417,303.58,1.71,1.28,2025-03-22,1204,Terra,MODIS,56,6.1NRT,285.18,16.55,N
36.38965,128.78639,338.29,1.71,1.28,2025-03-22,1204,Terra,MODIS,100,6.1NRT,288.17,93.94,N
36.38608,128.76784,337.88,1.72,1.29,2025-03-22,1204,Terra,MODIS,100,6.1NRT,289.47,90.94,N
36.38253,128.74944,334.64,1.72,1.29,2025-03-22,1204,Terra,MODIS,100,6.1NRT,290.05,79.87,N
36.37898,128.73105,314.85,1.73,1.29,2025-03-22,1204,Terra,MODIS,35,6.1NRT,288.89,29.09,N
36.37534,128.7122,311.08,1.73,1.29,2025-03-22,1204,Terra,MODIS,58,6.1NRT,288.24,24.44,N
36.37163,128.69299,309.19,1.74,1.29,2025-03-22,1204,Terra,MODIS,41,6.1NRT,286.06,21.5,N
36.36776,128.73399,310.59,1.73,1.29,2025-03-22,1204,Terra,MODIS,39,6.1NRT,286.54,23.76,N
36.39366,128.74609,365.09,1.72,1.29,2025-03-22,1204,Terra,MODIS,100,6.1NRT,290.12,226.89,N
36.39016,128.72787,353.86,1.73,1.29,2025-03-22,1204,Terra,MODIS,100,6.1NRT,290.93,158.98,N
36.3865,128.70882,343.05,1.73,1.29,2025-03-22,1204,Terra,MODIS,100,6.1NRT,289.64,109.87,N
36.38282,128.68968,316.91,1.74,1.29,2025-03-22,1204,Terra,MODIS,63,6.1NRT,287.57,33.96,N
36.3793,128.67146,335.66,1.74,1.29,2025-03-22,1204,Terra,MODIS,100,6.1NRT,288.61,81.82,N
36.37577,128.65314,312.43,1.75,1.3,2025-03-22,1204,Terra,MODIS,43,6.1NRT,287.09,25.36,N
36.39054,128.66838,341.7,1.74,1.29,2025-03-22,1204,Terra,MODIS,100,6.1NRT,287.27,106.21,N
36.38699,128.64986,341.07,1.75,1.3,2025-03-22,1204,Terra,MODIS,100,6.1NRT,287.61,103.43,N
36.39188,128.68088,311.71,1.74,1.29,2025-03-22,1204,Terra,MODIS,83,6.1NRT,286.37,28.63,N
36.38826,128.66264,352.51,1.74,1.29,2025-03-22,1204,Terra,MODIS,100,6.1NRT,289.47,156.31,N
36.38457,128.64404,325.77,1.75,1.3,2025-03-22,1204,Terra,MODIS,100,6.1NRT,286.89,55.84,N
36.37138,128.75269,316.63,1.72,1.29,2025-03-22,1204,Terra,MODIS,94,6.1NRT,287.05,34.98,N
36.375,128.77136,330.14,1.72,1.29,2025-03-22,1204,Terra,MODIS,100,6.1NRT,289.61,67.03,N
36.37857,128.78987,339.47,1.71,1.28,2025-03-22,1204,Terra,MODIS,100,6.1NRT,290.72,97.37,N
36.38205,128.80783,327.21,1.71,1.28,2025-03-22,1204,Terra,MODIS,100,6.1NRT,287.55,59.83,N
35.25866,127.86248,306.39,2.08,1.4,2025-03-22,1204,Terra,MODIS,61,6.1NRT,285.45,25.58,N
36.40737,128.51831,312.95,1.78,1.31,2025-03-22,1204,Terra,MODIS,86,6.1NRT,286.83,29.92,N
36.40355,128.49887,313.26,1.78,1.31,2025-03-22,1204,Terra,MODIS,73,6.1NRT,286.83,30.59,N
36.4187,128.51517,345.37,1.78,1.31,2025-03-22,1204,Terra,MODIS,100,6.1NRT,289.71,125.97,N
36.4148,128.49522,354.74,1.78,1.31,2025-03-22,1204,Terra,MODIS,100,6.1NRT,290.95,173.36,N
36.41099,128.47577,304.43,1.79,1.31,2025-03-22,1204,Terra,MODIS,26,6.1NRT,286.23,17.63,N
36.42228,128.4722,301.45,1.79,1.31,2025-03-22,1204,Terra,MODIS,15,6.1NRT,285.12,13.77,N
35.41632,129.2538,329.05,1.68,1.28,2025-03-22,1204,Terra,MODIS,100,6.1NRT,288.81,64.31,N
35.26297,127.88365,312.67,2.07,1.4,2025-03-22,1204,Terra,MODIS,85,6.1NRT,285.38,38.94,N
35.29253,128.8515,301.7,1.8,1.31,2025-03-22,1204,Terra,MODIS,32,6.1NRT,285.96,14.2,N
35.30387,128.84813,307.93,1.8,1.31,2025-03-22,1204,Terra,MODIS,73,6.1NRT,285.67,23.7,N
35.30418,128.86206,309.11,1.79,1.31,2025-03-22,1204,Terra,MODIS,53,6.1NRT,286.52,23.87,N
36.41552,128.76836,306.1,3.75,1.81,2025-03-22,1739,Aqua,MODIS,21,6.1NRT,282.49,63.81,N
